-232184.418543 -314381.535181 -97722.516492
-230774.197043 -315340.765729 -98159.422280
-229359.190802 -316293.887439 -98594.457797
-227939.586279 -317240.776634 -99027.566429
-226515.413542 -318181.416696 -99458.740260
-225086.702724 -319115.791128 -99887.971411
-223653.484015 -320043.883554 -100315.252044
-222215.787669 -320965.677721 -100740.574359
-220773.643999 -321881.157496 -101163.930596
-219327.083380 -322790.306868 -101585.313035
-217876.136244 -323693.109948 -102004.713993
-216420.833082 -324589.550971 -102422.125830
-214961.204445 -325479.614291 -102837.540943
-213497.280941 -326363.284386 -103250.951769
-212029.093236 -327240.545855 -103662.350787
-210556.672053 -328111.383420 -104071.730512
-209080.048172 -328975.781926 -104479.083501
-207599.252427 -329833.726340 -104884.402352
-206114.315712 -330685.201753 -105287.679702
-204625.268969 -331530.193376 -105688.908226
-203132.143205 -332368.686544 -106088.080643
-201634.969473 -333200.666716 -106485.189709
-200133.778882 -334026.119473 -106880.228222
-198628.602595 -334845.030519 -107273.189020
-197119.471828 -335657.385683 -107664.064980
-195606.417848 -336463.170915 -108052.849022
-194089.471975 -337262.372289 -108439.534104
-192568.665581 -338054.976004 -108824.113226
-191044.030088 -338840.968381 -109206.579429
-189515.596968 -339620.335864 -109586.925793
-187983.397744 -340393.065023 -109965.145440
-186447.463989 -341159.142551 -110341.231533
-184907.827324 -341918.555263 -110715.177275
-183364.519419 -342671.290101 -111086.975911
-181817.571993 -343417.334128 -111456.620725
-180267.016811 -344156.674535 -111824.105045
-178712.885687 -344889.298633 -112189.422237
-177155.210480 -345615.193861 -112552.565711
-175594.023096 -346334.347779 -112913.528917
-174029.355488 -347046.748075 -113272.305345
-172461.239652 -347752.382558 -113628.888529
-170889.707632 -348451.239165 -113983.272041
-169314.791513 -349143.305955 -114335.449499
-167736.523426 -349828.571113 -114685.414558
-166154.935544 -350507.022949 -115033.160918
-164570.060086 -351178.649897 -115378.682318
-162981.929309 -351843.440517 -115721.972540
-161390.575516 -352501.383493 -116063.025408
-159796.031050 -353152.467636 -116401.834788
-158198.328295 -353796.681880 -116738.394586
-156597.499675 -354434.015286 -117072.698752
-154993.577655 -355064.457038 -117404.741277
-153386.594740 -355687.996447 -117734.516194
-151776.583474 -356304.622951 -118062.017578
-150163.576440 -356914.326110 -118387.239547
-148547.606257 -357517.095612 -118710.176259
-146928.705586 -358112.921270 -119030.821918
-145306.907121 -358701.793022 -119349.170767
-143682.243595 -359283.700934 -119665.217092
